user_id,prediction
850,1214 111 923 924 260 904 1244 3471 589 1345 3683 2300 1084 3504 1228 1953 1208 2599 1321 541 913 2997 2289 2288 1994
2012,2174 2161 2081 2105 780 1240 1220 2080 1967 1275 1282 551 316 2640 1356 1375 1036 2355 1372 648 1527 317 2985 110 1394
1511,260 110 593 608 908 1201 541 1193 318 923 589 1200 2858 296 1247 1213 1267 1291 111 1276 1222 903 50 1036 3435
5846,1617 858 527 296 2762 904 908 2396 1198 1213 1247 1221 924 750 1267 903 2028 1225 1208 2324 1265 910 969 1262 1945
4344,924 1219 1387 1080 1953 2289 2455 1673 1266 1267 2288 1965 1961 2716 1299 919 1250 1 1962 1960 1215 1244 1036 2003 337
5570,1270 1 1136 2406 2762 2797 2396 50 2000 2353 593 1079 1722 1148 1617 2193 1641 2804 588 736 2997 1259 3114 1278 2858
2507,2987 1196 923 1079 1225 588 541 1230 1394 2289 1252 595 1220 2571 903 2064 1267 1073 3424 3543 1207 924 2973 34 914
5903,2762 1196 110 1573 1270 3114 593 1198 318 1370 1240 2355 356 733 1617 3175 3256 1036 1608 34 648 608 1214 150 1197
554,2997 2396 2599 2355 3408 2710 2987 2395 3081 2580 2694 3623 2712 2881 3114 3005 2841 2707 2541 2433 2502 3175 2572 1127 3174
202,2762 1923 527 457 1393 3147 1036 2571 377 1721 380 1784 780 2000 587 858 223 2804 1407 2353 648 3499 1213 1090 3114
4387,914 1198 1 2396 2018 17 2174 1721 1032 1393 953 2100 596 1219 527 2085 1997 592 2020 539 1101 3396 590 2003 318
1820,608 2571 1270 2028 1089 480 110 260 1213 3421 1136 2791 527 924 2288 3527 1394 1198 47 1358 1259 2160 750 2529 2599
5082,912 1197 923 750 858 1172 1193 1207 910 1244 969 111 1952 908 913 1252 1198 1094 2289 260 1188 1148 919 2243 2300
3827,608 47 1580 589 1089 2353 733 1213 2391 1358 1356 2268 1653 454 2278 356 527 1748 2763 161 1266 150 832 736 1372
