user_id,prediction
850,989 1360 3233 3382 3607 3656 3881 53 557 1420 3338 2503 2309 2480 3245 2019 3517 1795 3216 2905 745 50 1178 3232 318
2012,989 1360 2480 3382 3607 3656 3881 3233 53 557 3245 2444 3338 3216 666 1420 2503 2905 2197 2309 318 2019 1795 745 50
1511,989 1360 3233 3607 3656 3881 53 2197 1420 3338 557 2503 3245 1471 2019 2905 3522 50 318 745 1148 922 260 1212 3022
5846,1420 572 989 1360 3233 3382 3607 3656 3881 53 557 2503 3245 3338 3522 2197 858 2019 2905 1471 1795 2480 2309 527 745
4344,3233 3656 1360 3382 3607 989 3881 53 557 1420 3338 3245 2503 2019 2309 3216 3517 745 1795 666 1178 1148 3232 2358 720
5570,2480 1360 3233 3382 3607 3656 3881 989 53 557 3245 1420 3338 2503 2197 2905 2019 50 3216 1148 3522 2309 2358 1178 1795
2507,3233 989 1360 3382 3607 3656 3881 53 557 1420 3338 2503 2309 3245 2019 2905 2480 527 1795 3517 666 720 3022 1207 572
5903,989 1360 2480 3233 3382 3607 3656 3881 53 3245 3216 2905 557 3338 318 2019 2503 50 2444 745 1198 1420 858 1795 729
554,557 989 1360 3233 3382 3656 3881 53 1420 3232 3245 3338 2905 578 2198 572 2503 318 858 50 1795 2358 2019 823 2309
202,989 1360 3233 3382 3607 3656 3881 53 557 2480 3245 3338 2905 2444 858 50 1420 2019 2503 3216 666 527 3232 745 2309
4387,3607 989 1360 3233 3382 3656 3881 53 557 1420 3245 3338 3216 666 2503 2905 2019 2309 318 527 1198 1795 2197 3517 922
1820,3233 989 1360 3382 3607 3656 3881 557 53 1420 3245 3338 2503 2905 2019 2309 2197 1795 1198 745 3232 527 2358 3522 260
5082,989 1360 3382 3607 3656 3881 3233 53 2480 1420 557 3338 2503 2019 858 2309 2905 745 3245 50 922 3517 1795 1148 527
3827,989 1360 3233 3607 3656 3881 557 53 3245 1420 729 2905 3338 3232 3216 2480 2019 1795 858 3517 1198 2503 745 527 2358
5854,989 3233 3382 3607 3881 1360 557 3245 53 1420 3232 3338 2905 1795 729 666 3216 318 2358 3517 2019 858 1198 2503 745
